"VP","VN","FP","FN"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"13","30","2","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","29","1","1"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"13","30","2","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
