"VP","VN","FP","FN"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","28","15","2"
"1","30","14","0"
"0","30","15","0"
"0","23","15","7"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","20","15","10"
"0","22","15","8"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","17","15","13"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","28","15","2"
"0","15","15","15"
"0","21","15","9"
"0","23","15","7"
"0","28","15","2"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","24","15","6"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","29","15","1"
"0","27","15","3"
"0","27","15","3"
"1","30","14","0"
"0","30","15","0"
"0","30","15","0"
"1","28","14","2"
"0","29","15","1"
"0","30","15","0"
"0","21","15","9"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"1","15","14","15"
"0","30","15","0"
"0","29","15","1"
"0","17","15","13"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"1","29","14","1"
"0","24","15","6"
"3","24","12","6"
"0","18","15","12"
"0","25","15","5"
"0","25","15","5"
"0","30","15","0"
"0","27","15","3"
"0","17","15","13"
"0","30","15","0"
"0","29","15","1"
"0","26","15","4"
"0","15","15","15"
"0","16","15","14"
"0","30","15","0"
"0","30","15","0"
"0","28","15","2"
"0","29","15","1"
"0","30","15","0"
"0","28","15","2"
"0","30","15","0"
"0","28","15","2"
"0","16","15","14"
"0","29","15","1"
"0","29","15","1"
"0","29","15","1"
"2","16","13","14"
"0","15","15","15"
"0","30","15","0"
"0","30","15","0"
"1","16","14","14"
"0","27","15","3"
"0","29","15","1"
"0","17","15","13"
"0","17","15","13"
"0","30","15","0"
"1","15","14","15"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","28","15","2"
"0","17","15","13"
"1","27","14","3"
"0","21","15","9"
"0","30","15","0"
"1","22","14","8"
"0","30","15","0"
"0","22","15","8"
"0","29","15","1"
"0","18","15","12"
"0","30","15","0"
"0","21","15","9"
"0","30","15","0"
"0","30","15","0"
"0","26","15","4"
"0","30","15","0"
"0","18","15","12"
"0","30","15","0"
"0","28","15","2"
"3","26","12","4"
"1","19","14","11"
"0","27","15","3"
"0","30","15","0"
"0","16","15","14"
"0","30","15","0"
"0","28","15","2"
"0","27","15","3"
"0","29","15","1"
"0","15","15","15"
"0","30","15","0"
"0","29","15","1"
"0","21","15","9"
"0","22","15","8"
"0","30","15","0"
"0","30","15","0"
"0","28","15","2"
"2","29","13","1"
"0","30","15","0"
"0","30","15","0"
"0","16","15","14"
"0","20","15","10"
"0","30","15","0"
"0","16","15","14"
"1","23","14","7"
"0","28","15","2"
"0","26","15","4"
"0","23","15","7"
"2","28","13","2"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","16","15","14"
"0","15","15","15"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","27","15","3"
"0","29","15","1"
"0","30","15","0"
"1","19","14","11"
"0","15","15","15"
"0","19","15","11"
"0","30","15","0"
"0","30","15","0"
"0","17","15","13"
"0","30","15","0"
"0","15","15","15"
"0","20","15","10"
"0","30","15","0"
"0","19","15","11"
"0","30","15","0"
"0","17","15","13"
"0","20","15","10"
