"VP","VN","FP","FN"
"43","2","",""
"28","17","",""
"30","15","",""
"42","3","",""
"31","14","",""
"27","18","",""
"41","4","",""
"29","16","",""
"41","4","",""
"33","12","",""
"28","17","",""
"41","4","",""
"29","16","",""
"42","3","",""
"30","15","",""
"34","11","",""
"32","13","",""
"31","14","",""
"35","10","",""
"26","19","",""
"33","12","",""
"29","16","",""
"43","2","",""
"28","17","",""
"31","14","",""
"32","13","",""
"30","15","",""
"36","9","",""
"28","17","",""
"29","16","",""
"42","3","",""
"41","4","",""
"33","12","",""
"30","15","",""
"41","4","",""
"39","6","",""
"34","11","",""
"29","16","",""
"35","10","",""
"40","5","",""
"38","7","",""
"39","6","",""
"36","9","",""
"44","1","",""
"25","20","",""
"40","5","",""
"29","16","",""
"40","5","",""
"36","9","",""
"34","11","",""
"25","20","",""
"36","9","",""
"30","15","",""
"41","4","",""
"42","3","",""
"29","16","",""
"33","12","",""
"38","7","",""
"42","3","",""
"37","8","",""
"37","8","",""
"43","2","",""
"39","6","",""
"44","1","",""
"28","17","",""
"35","10","",""
"37","8","",""
"32","13","",""
"31","14","",""
"43","2","",""
"43","2","",""
"29","16","",""
"30","15","",""
"27","18","",""
"41","4","",""
"38","7","",""
"43","2","",""
"29","16","",""
"28","17","",""
"34","11","",""
"28","17","",""
"33","12","",""
"33","12","",""
"31","14","",""
"39","6","",""
"27","18","",""
"38","7","",""
"33","12","",""
"31","14","",""
"33","12","",""
"43","2","",""
"40","5","",""
"44","1","",""
"30","15","",""
"27","18","",""
"44","1","",""
"31","14","",""
"30","15","",""
"37","8","",""
"44","1","",""
"33","12","",""
"33","12","",""
"43","2","",""
"37","8","",""
"39","6","",""
"32","13","",""
"43","2","",""
"28","17","",""
"42","3","",""
"27","18","",""
"25","20","",""
"40","5","",""
"44","1","",""
"28","17","",""
"35","10","",""
"41","4","",""
"38","7","",""
"37","8","",""
"29","16","",""
"39","6","",""
"36","9","",""
"26","19","",""
"44","1","",""
"39","6","",""
"29","16","",""
"34","11","",""
"43","2","",""
"32","13","",""
"28","17","",""
"31","14","",""
"32","13","",""
"34","11","",""
"45","0","",""
"41","4","",""
"30","15","",""
"41","4","",""
"35","10","",""
"29","16","",""
"36","9","",""
"41","4","",""
"27","18","",""
"41","4","",""
"30","15","",""
"40","5","",""
"41","4","",""
"36","9","",""
"43","2","",""
"39","6","",""
"42","3","",""
"40","5","",""
"27","18","",""
"45","0","",""
"29","16","",""
"30","15","",""
"44","1","",""
"29","16","",""
"32","13","",""
"30","15","",""
"30","15","",""
"27","18","",""
"36","9","",""
"32","13","",""
"24","21","",""
"26","19","",""
"28","17","",""
"27","18","",""
"32","13","",""
"31","14","",""
"36","9","",""
"39","6","",""
"24","21","",""
"27","18","",""
"43","2","",""
"43","2","",""
"29","16","",""
"40","5","",""
"29","16","",""
"43","2","",""
"30","15","",""
"31","14","",""
"30","15","",""
"31","14","",""
"41","4","",""
"42","3","",""
"36","9","",""
"39","6","",""
"32","13","",""
"38","7","",""
"29","16","",""
"45","0","",""
"30","15","",""
"41","4","",""
"39","6","",""
"33","12","",""
"43","2","",""
"22","23","",""
"40","5","",""
"42","3","",""
"33","12","",""
"43","2","",""
"36","9","",""
"37","8","",""
"44","1","",""
"33","12","",""
"30","15","",""
"45","0","",""
"30","15","",""
"39","6","",""
"42","3","",""
"25","20","",""
"37","8","",""
"44","1","",""
"33","12","",""
"43","2","",""
"29","16","",""
"41","4","",""
"36","9","",""
"31","14","",""
"41","4","",""
"39","6","",""
"35","10","",""
"33","12","",""
"34","11","",""
"40","5","",""
"28","17","",""
"39","6","",""
"30","15","",""
"40","5","",""
"38","7","",""
"30","15","",""
"30","15","",""
"31","14","",""
"43","2","",""
"40","5","",""
"38","7","",""
"39","6","",""
"32","13","",""
"39","6","",""
"44","1","",""
"45","0","",""
"38","7","",""
"35","10","",""
"34","11","",""
"41","4","",""
"35","10","",""
"31","14","",""
"36","9","",""
"31","14","",""
"30","15","",""
"34","11","",""
"35","10","",""
"25","20","",""
"40","5","",""
"30","15","",""
"33","12","",""
"44","1","",""
"36","9","",""
"40","5","",""
"35","10","",""
"35","10","",""
"42","3","",""
"35","10","",""
"29","16","",""
"34","11","",""
"28","17","",""
"40","5","",""
"35","10","",""
"28","17","",""
"42","3","",""
"30","15","",""
"43","2","",""
"30","15","",""
"27","18","",""
"36","9","",""
"30","15","",""
"33","12","",""
"41","4","",""
"36","9","",""
"43","2","",""
"30","15","",""
"38","7","",""
"40","5","",""
"38","7","",""
"41","4","",""
"30","15","",""
"35","10","",""
"31","14","",""
"45","0","",""
"32","13","",""
"30","15","",""
"43","2","",""
"34","11","",""
"41","4","",""
"15","30","",""
"34","11","",""
"40","5","",""
"29","16","",""
"30","15","",""
"34","11","",""
"30","15","",""
"38","7","",""
"44","1","",""
"31","14","",""
"39","6","",""
"27","18","",""
"43","2","",""
"29","16","",""
"30","15","",""
"40","5","",""
"32","13","",""
"35","10","",""
"44","1","",""
"30","15","",""
"29","16","",""
"32","13","",""
"30","15","",""
"29","16","",""
"30","15","",""
"39","6","",""
"38","7","",""
"41","4","",""
"31","14","",""
"39","6","",""
"30","15","",""
"28","17","",""
"44","1","",""
"39","6","",""
"44","1","",""
"29","16","",""
"44","1","",""
"37","8","",""
"40","5","",""
"31","14","",""
"31","14","",""
"45","0","",""
"27","18","",""
"32","13","",""
"27","18","",""
"25","20","",""
"31","14","",""
"31","14","",""
"41","4","",""
"29","16","",""
"35","10","",""
"45","0","",""
"42","3","",""
"42","3","",""
"30","15","",""
"30","15","",""
"41","4","",""
"41","4","",""
"40","5","",""
"40","5","",""
"34","11","",""
"42","3","",""
"30","15","",""
"43","2","",""
"27","18","",""
"37","8","",""
"42","3","",""
"26","19","",""
"40","5","",""
"30","15","",""
"32","13","",""
"37","8","",""
"29","16","",""
"41","4","",""
"37","8","",""
"38","7","",""
"32","13","",""
"42","3","",""
"24","21","",""
"39","6","",""
"33","12","",""
"40","5","",""
"30","15","",""
"39","6","",""
"28","17","",""
"27","18","",""
"30","15","",""
"41","4","",""
"42","3","",""
"42","3","",""
"35","10","",""
"39","6","",""
"44","1","",""
"40","5","",""
"34","11","",""
"34","11","",""
"28","17","",""
"38","7","",""
"41","4","",""
"44","1","",""
"40","5","",""
"32","13","",""
"35","10","",""
"35","10","",""
"39","6","",""
"43","2","",""
"36","9","",""
"27","18","",""
"34","11","",""
"30","15","",""
"30","15","",""
"32","13","",""
"32","13","",""
"30","15","",""
"26","19","",""
"37","8","",""
"32","13","",""
"43","2","",""
"40","5","",""
"44","1","",""
"36","9","",""
"43","2","",""
"41","4","",""
"27","18","",""
"33","12","",""
"43","2","",""
"31","14","",""
"28","17","",""
"44","1","",""
"29","16","",""
"44","1","",""
"40","5","",""
"35","10","",""
"32","13","",""
"42","3","",""
"32","13","",""
"36","9","",""
"28","17","",""
"41","4","",""
"35","10","",""
"29","16","",""
"31","14","",""
"40","5","",""
"43","2","",""
"33","12","",""
"42","3","",""
"31","14","",""
"34","11","",""
"31","14","",""
"39","6","",""
"38","7","",""
"43","2","",""
"35","10","",""
"30","15","",""
"38","7","",""
"31","14","",""
"39","6","",""
"34","11","",""
"32","13","",""
"32","13","",""
"40","5","",""
"43","2","",""
"27","18","",""
"39","6","",""
"31","14","",""
"40","5","",""
"34","11","",""
"37","8","",""
"39","6","",""
"32","13","",""
"39","6","",""
"41","4","",""
"41","4","",""
"34","11","",""
"30","15","",""
"33","12","",""
"29","16","",""
"32","13","",""
"40","5","",""
"43","2","",""
"33","12","",""
"35","10","",""
"44","1","",""
"28","17","",""
"30","15","",""
"30","15","",""
"42","3","",""
"39","6","",""
"42","3","",""
"42","3","",""
"41","4","",""
"27","18","",""
"43","2","",""
"35","10","",""
"35","10","",""
"39","6","",""
"42","3","",""
"32","13","",""
"33","12","",""
"41","4","",""
"30","15","",""
"35","10","",""
"39","6","",""
"38","7","",""
"28","17","",""
"42","3","",""
"30","15","",""
"35","10","",""
"31","14","",""
"42","3","",""
"28","17","",""
"30","15","",""
"39","6","",""
"41","4","",""
"32","13","",""
"45","0","",""
"33","12","",""
"38","7","",""
"31","14","",""
"32","13","",""
"40","5","",""
"40","5","",""
"42","3","",""
"25","20","",""
"35","10","",""
"30","15","",""
"38","7","",""
"36","9","",""
"31","14","",""
"40","5","",""
"34","11","",""
"43","2","",""
"31","14","",""
"35","10","",""
"38","7","",""
"36","9","",""
"30","15","",""
"40","5","",""
"37","8","",""
"45","0","",""
"35","10","",""
"26","19","",""
"45","0","",""
"33","12","",""
"24","21","",""
"27","18","",""
"30","15","",""
"30","15","",""
"18","27","",""
"33","12","",""
"39","6","",""
"37","8","",""
"44","1","",""
"29","16","",""
"43","2","",""
"30","15","",""
"27","18","",""
"37","8","",""
"42","3","",""
"33","12","",""
"43","2","",""
"42","3","",""
"35","10","",""
"44","1","",""
"28","17","",""
"45","0","",""
"36","9","",""
"43","2","",""
"37","8","",""
"30","15","",""
"37","8","",""
"45","0","",""
"30","15","",""
"32","13","",""
"38","7","",""
"38","7","",""
"35","10","",""
"43","2","",""
"42","3","",""
"29","16","",""
"26","19","",""
"34","11","",""
"27","18","",""
"43","2","",""
"43","2","",""
"42","3","",""
"44","1","",""
"43","2","",""
"30","15","",""
"35","10","",""
"42","3","",""
"41","4","",""
"39","6","",""
"40","5","",""
"32","13","",""
"29","16","",""
"35","10","",""
"36","9","",""
"33","12","",""
"43","2","",""
"30","15","",""
"42","3","",""
"35","10","",""
"33","12","",""
"45","0","",""
"43","2","",""
"43","2","",""
"44","1","",""
"34","11","",""
"29","16","",""
"43","2","",""
"33","12","",""
"33","12","",""
"37","8","",""
"30","15","",""
"40","5","",""
"39","6","",""
"41","4","",""
"29","16","",""
"26","19","",""
"43","2","",""
"30","15","",""
"34","11","",""
"38","7","",""
"38","7","",""
"39","6","",""
"37","8","",""
"31","14","",""
"30","15","",""
"30","15","",""
"43","2","",""
"42","3","",""
"32","13","",""
"32","13","",""
"43","2","",""
"36","9","",""
"36","9","",""
"30","15","",""
"28","17","",""
"30","15","",""
"42","3","",""
"43","2","",""
"39","6","",""
"36","9","",""
"45","0","",""
"35","10","",""
"41","4","",""
"29","16","",""
"35","10","",""
"32","13","",""
"28","17","",""
"29","16","",""
"39","6","",""
"41","4","",""
"30","15","",""
"31","14","",""
"27","18","",""
"29","16","",""
"38","7","",""
"31","14","",""
"43","2","",""
"31","14","",""
"41","4","",""
"29","16","",""
"31","14","",""
"29","16","",""
"39","6","",""
"44","1","",""
"40","5","",""
"39","6","",""
"27","18","",""
"26","19","",""
"39","6","",""
"43","2","",""
"36","9","",""
"36","9","",""
"31","14","",""
"39","6","",""
"39","6","",""
"30","15","",""
"44","1","",""
"38","7","",""
"41","4","",""
"41","4","",""
"29","16","",""
"42","3","",""
"43","2","",""
"30","15","",""
"32","13","",""
"30","15","",""
"34","11","",""
"43","2","",""
"29","16","",""
"26","19","",""
"33","12","",""
"38","7","",""
"41","4","",""
"44","1","",""
"44","1","",""
"34","11","",""
"43","2","",""
"30","15","",""
"30","15","",""
"44","1","",""
"30","15","",""
"29","16","",""
"27","18","",""
"43","2","",""
"30","15","",""
"28","17","",""
"33","12","",""
"29","16","",""
"43","2","",""
"44","1","",""
"37","8","",""
"30","15","",""
"30","15","",""
"29","16","",""
"43","2","",""
"30","15","",""
"22","23","",""
"33","12","",""
"30","15","",""
"36","9","",""
"33","12","",""
"35","10","",""
"43","2","",""
"44","1","",""
"42","3","",""
"33","12","",""
"30","15","",""
"28","17","",""
"31","14","",""
"30","15","",""
"29","16","",""
"31","14","",""
"30","15","",""
"23","22","",""
"36","9","",""
"42","3","",""
"41","4","",""
"30","15","",""
"30","15","",""
"35","10","",""
"42","3","",""
"28","17","",""
"37","8","",""
"36","9","",""
"27","18","",""
"34","11","",""
"32","13","",""
"38","7","",""
"37","8","",""
"31","14","",""
"43","2","",""
"42","3","",""
"44","1","",""
"19","26","",""
"42","3","",""
"41","4","",""
"23","22","",""
"32","13","",""
"43","2","",""
"35","10","",""
"36","9","",""
"29","16","",""
"30","15","",""
"34","11","",""
"30","15","",""
"30","15","",""
"41","4","",""
"42","3","",""
"32","13","",""
"30","15","",""
"28","17","",""
"41","4","",""
"40","5","",""
"42","3","",""
"31","14","",""
"43","2","",""
"43","2","",""
"29","16","",""
"33","12","",""
"41","4","",""
"38","7","",""
"35","10","",""
"44","1","",""
"36","9","",""
"28","17","",""
"30","15","",""
"41","4","",""
"45","0","",""
"27","18","",""
"39","6","",""
"28","17","",""
"32","13","",""
"27","18","",""
"27","18","",""
"42","3","",""
"39","6","",""
"29","16","",""
"30","15","",""
"31","14","",""
"41","4","",""
"44","1","",""
"42","3","",""
"31","14","",""
"32","13","",""
"38","7","",""
"32","13","",""
"32","13","",""
"31","14","",""
"37","8","",""
"30","15","",""
"33","12","",""
"29","16","",""
"44","1","",""
"44","1","",""
"32","13","",""
"43","2","",""
"42","3","",""
"30","15","",""
"31","14","",""
"29","16","",""
"42","3","",""
"42","3","",""
"35","10","",""
"30","15","",""
"43","2","",""
"42","3","",""
"40","5","",""
"42","3","",""
"38","7","",""
"38","7","",""
"44","1","",""
"30","15","",""
"33","12","",""
"42","3","",""
"26","19","",""
"41","4","",""
"29","16","",""
"44","1","",""
"42","3","",""
"19","26","",""
"40","5","",""
"42","3","",""
"37","8","",""
"28","17","",""
"30","15","",""
"32","13","",""
"35","10","",""
"41","4","",""
"33","12","",""
"39","6","",""
"30","15","",""
"42","3","",""
"37","8","",""
"40","5","",""
"36","9","",""
"43","2","",""
"40","5","",""
"41","4","",""
"42","3","",""
"41","4","",""
"30","15","",""
"35","10","",""
"30","15","",""
"41","4","",""
"43","2","",""
"30","15","",""
"44","1","",""
"37","8","",""
"31","14","",""
"30","15","",""
"37","8","",""
"26","19","",""
"31","14","",""
"28","17","",""
"33","12","",""
"34","11","",""
"30","15","",""
"31","14","",""
"41","4","",""
"38","7","",""
"31","14","",""
"30","15","",""
"44","1","",""
"29","16","",""
"29","16","",""
"40","5","",""
"41","4","",""
"45","0","",""
"42","3","",""
"30","15","",""
"30","15","",""
"37","8","",""
"38","7","",""
"30","15","",""
"39","6","",""
"44","1","",""
"35","10","",""
"34","11","",""
"32","13","",""
"40","5","",""
"41","4","",""
"34","11","",""
"29","16","",""
"31","14","",""
"44","1","",""
"41","4","",""
"40","5","",""
"28","17","",""
"43","2","",""
"35","10","",""
"40","5","",""
"42","3","",""
"42","3","",""
"37","8","",""
"21","24","",""
"42","3","",""
"34","11","",""
"30","15","",""
"40","5","",""
"43","2","",""
"44","1","",""
"42","3","",""
"42","3","",""
"24","21","",""
"32","13","",""
"41","4","",""
"27","18","",""
"39","6","",""
"30","15","",""
"42","3","",""
"32","13","",""
"29","16","",""
"38","7","",""
"41","4","",""
"37","8","",""
"32","13","",""
"30","15","",""
"38","7","",""
"36","9","",""
"40","5","",""
"30","15","",""
"32","13","",""
"31","14","",""
"42","3","",""
"28","17","",""
"31","14","",""
"35","10","",""
"45","0","",""
"31","14","",""
"31","14","",""
"28","17","",""
"34","11","",""
"38","7","",""
"44","1","",""
"42","3","",""
"36","9","",""
"30","15","",""
"27","18","",""
"38","7","",""
"39","6","",""
"30","15","",""
"28","17","",""
"37","8","",""
"29","16","",""
"28","17","",""
"32","13","",""
"43","2","",""
"32","13","",""
"34","11","",""
"36","9","",""
"28","17","",""
"43","2","",""
"30","15","",""
"34","11","",""
"29","16","",""
"41","4","",""
"38","7","",""
"37","8","",""
"36","9","",""
"35","10","",""
"31","14","",""
"39","6","",""
"29","16","",""
"45","0","",""
"41","4","",""
"41","4","",""
"39","6","",""
"32","13","",""
"42","3","",""
"30","15","",""
"40","5","",""
"38","7","",""
"31","14","",""
"40","5","",""
"32","13","",""
"44","1","",""
"28","17","",""
"41","4","",""
"32","13","",""
"30","15","",""
"30","15","",""
"41","4","",""
"41","4","",""
