"VP","VN","FP","FN"
"30","15","",""
"38","7","",""
"29","16","",""
"29","16","",""
"31","14","",""
"30","15","",""
"30","15","",""
"31","14","",""
"30","15","",""
"30","15","",""
"36","9","",""
"30","15","",""
"25","20","",""
"30","15","",""
"30","15","",""
"22","23","",""
"30","15","",""
"30","15","",""
"23","22","",""
"26","19","",""
"30","15","",""
"30","15","",""
"30","15","",""
"32","13","",""
"29","16","",""
"30","15","",""
"27","18","",""
"30","15","",""
"28","17","",""
"28","17","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"38","7","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"30","15","",""
"30","15","",""
"30","15","",""
"33","12","",""
"20","25","",""
"22","23","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"24","21","",""
"30","15","",""
"26","19","",""
"30","15","",""
"30","15","",""
"26","19","",""
"30","15","",""
"22","23","",""
"36","9","",""
"30","15","",""
"30","15","",""
"30","15","",""
"32","13","",""
"30","15","",""
"35","10","",""
"30","15","",""
"30","15","",""
"33","12","",""
"30","15","",""
"34","11","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"24","21","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"32","13","",""
"30","15","",""
"30","15","",""
"25","20","",""
"42","3","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
